,Birth 1,Birth 2,Birth 3,Birth 4,Death 1,Death 2,Event 1,Event 2
28-Mar,Nick Frost- 1972,Vince Vaughn- 1970,Lady Gaga- 1986,Zoe Sugg- 1990,Virginia Woolf- 1941,Patrick Troughton- 1987,1939 - Spanish Civil War ends,1994 - BBC radio 5 live airs for the first time
29-Mar,Brendan Gleeson- 1955,Elle MacPherson- 1964,N'Golo Kante- 1991,Scott Wilson- 1942,Richard Griffiths- 2013,Charles Wesley- 1788,1871 - Royal Albert Hall opens,2015 - Australia beats NZ to win cricket world cup
30-Mar,Celine Dion- 1968,Vincent Van Gogh- 1853,Robbie Coltrane- 1950,Piers Morgan- 1965,The Queen Mother- 2002,Michael Jeter- 2003,2000 - Richard Branson is knighted,2013 - North Korea announces it is 'at war' with South Korea
31-Mar,Ewan McGregor- 1971,J.S. Bach- 1685,Christopher Walken- 1943,Al Gore- 1948,Ronnie Corbett- 2016,Isaac Newton- 1727,1889 - Eiffel Tower opens in Paris,1999 - 10 Things I hate about you is released in cinema
01-Apr,Phillip Schofield- 1962,Susan Boyle- 1961,Asa Butterfield- 1997,Debbie Reynolds- 1932,Marvin Gaye- 1984,Scott Joplin- 1917,2001 - Holland becomes first country to allow same sex marriage,2017 - Chinese announce plans to build new city 3x the size of New York
02-Apr,Michael Fassbender- 1977,Alec Guinness- 1914,Clark Gregg- 1962,Hans Christian Anderson- 1805,Pope John Paul II- 2005,Georges Pompidou- 1974,1860 - 1st meeting of Italian parliament in Turin,2015 - 140 people killed by gunmen at kenyan university
03-Apr,Eddie Murphy- 1961,Alec Baldwin- 1958,Leona Lewis- 1985,Nigel Farage- 1964,Johannes Brahms- 1897,Sarah Brady- 2015,1657 - Oliver Cromwell refuses crown of Britain,2017 - Bomb on St Petersburg Metro kills 11 
04-Apr,Robert Downey Jr- 1965,Heath Ledger- 1979,Graeme Norton- 1963,Hugo Weaving- 1960,Martin Luther King- 1968,Karl Benz- 1944,1841 - John Tyler becomes 10th US President,1850 - City of Los Angeles founded
05-Apr,Pharrell Williams- 1973,Lily James- 1979,Gregory Peck- 1916,Anthony Horowitz- 1955,Kurt Cobain- 1994,Georges Danton- 1794,1954 - Elvis Presley records debut single,1955 - Anthony Eden becomes prime minister of UK
06-Apr,Paul Rudd- 1969,Michael Rooker- 1955,Louie Spence- 1969,Raphael- 1483,Raphael- 1520,Mickey Rooney- 2014,1672 - France declares war on the Netherlands,1991 - Maradona gets 15 month ban for cocaine use
07-Apr,Tim Peake- 1972,Jackie Chan- 1954,Russell Crowe- 1964,Franck Ribery- 1983,Henry Ford- 1947,Peaches Geldof- 2014,2001 - Mars Odyssey is launched,2017 - Donald Trump announces missile strikes on syria
08-Apr,Gennady Golovkin- 1982,Taylor Kitsch- 1981,Patricia Arquette- 1968,Matty Healy- 1989,Margaret Thatcher- 2013,James Hellwig- 2014,1879 - Milk sold in glass bottles for first time,1977 - Yitzhak Rabin resigns as premier oh Israel
09-Apr,Gerard Way- 1977,Kristen Stewart- 1990,Hugh Hefner- 1926,Dennis Quaid- 1954,Francis Bacon- 1626,Frank Lloyd Wright- 1959,1953 - 'TV Guide' published for first time,1963 - Winston Churchill becomes first honorary US citizen
10-Apr,Daisy Ridley- 1992,Alex Pettyfer- 1990,Charlie Hunnam- 1980,Roberto Carlos- 1973,Dixie Carter- 2010,Natalie Schafer- 1991,2014 - Amazing Spider Man 2 premieres in London,2017 - Guardians of the Galaxy vol 2 premieres in Tokyo
